sna,sarea,sno,tot,sbi,mday,lat,lng,bemp,act
捷運獅甲站(3號出口),前鎮區,501208014,19,2,20230320143741,22.60659,120.30799,17,1
前鎮西甲敬老亭,前鎮區,501208015,15,2,20230320144315,22.60744,120.30784,13,1
中正高工(汕頭街口),前鎮區,501208016,22,18,20230320144023,22.61017,120.31735,4,1
崗山仔公園,前鎮區,501208017,15,10,20230320140840,22.60585,120.3374,5,1
河南自強路口,前金區,501205004,17,1,20230320135140,22.6341,120.29167,16,1
自強民生路口西北側,前金區,501205005,22,8,20230320145022,22.62561,120.29516,14,1
建國國小,前金區,501205006,20,8,20230320144440,22.63168,120.2977,12,1
中正瑞源路口西南側,前金區,501205007,12,3,20230320144641,22.62977,120.2975,9,1
高雄廣澤郵局,前鎮區,501208018,15,3,20230320141515,22.6159,120.31059,12,1
25號綠地公園,前鎮區,501208019,16,2,20230320141915,22.61641,120.31578,14,1
中正高工(黃埔街口),前鎮區,501208020,21,17,20230320145241,22.61155,120.31779,4,1
台鋁廣場,前鎮區,501208021,17,1,20230320093043,22.6043,120.30373,16,1
瑞北停車場,前鎮區,501208022,15,3,20230320141515,22.60892,120.32972,12,1
瑞祥高中,前鎮區,501208023,30,22,20230320144616,22.6017,120.32528,8,1
